,price,brick,metro,kitsp,dist,walk,livesp,floor,code,totsp,owners,parking,lastownage,rating,murder,class
1,81,monolit,Zamoskvoreckaya,6,12.5,15,40,0,northwest,58,3,opened,56,1,0,Usual
2,75,block,Tagansko-Krasnopresenskaya,6,13.5,24,28,0,southeast,44,2,opened,40,1,1,Usual
3,128,monolit,Zamoskvoreckaya,6,14.5,20,42,7,northwest,70,3,closed,43,1,0,Usual
4,95,panel,Kalugsko-Rigskaya,6,13.5,19,37,6,north,61,1,opened,77,1,0,Usual
5,330,brick,Zamoskvoreckaya,11,10.5,0,60,8,northwest,104,2,opened,48,3,0,Usual
6,137,monolit,Arbato-Pokrovskaya,9,11,23,50,5,east,76,2,opened,53,2,0,Usual
7,98,block,Arbato-Pokrovskaya,6,7.5,5,39,5,east,59,1,closed,50,1,0,Usual
8,88,monolit,Tagansko-Krasnopresenskaya,6,9,29,36,0,northwest,55,1,underground,47,1,0,Usual
9,225,brick,Zamoskvoreckaya,9,9,28,56,7,northwest,80,2,underground,71,2,0,Usual
10,140,panel,Lublinskaya,10,12.7,20,51,0,southeast,86,3,opened,23,2,0,Usual
11,,block,Zamoskvoreckaya,12,10.5,8,56,7,,96,3,opened,53,1,1,Usual
12,115,panel,Kalininskaya,9,3.5,19,50,0,east,77,3,underground,49,1,0,Usual
13,142,panel,Zamoskvoreckaya,8,7.5,18,47,6,northwest,70,2,underground,40,2,0,Usual
14,84,panel,Zamoskvoreckaya,7,14.5,2,44,3,northwest,63,2,opened,38,1,0,Usual
15,100,panel,Kalininskaya,7,12,8,43,5,east,66,2,closed,49,1,0,Usual
16,110,block,Tagansko-Krasnopresenskaya,10,13.5,11,50,2,southeast,75,2,closed,50,2,0,Usual
17,170,monolit,Zamoskvoreckaya,8,7.5,19,58,1,,87,2,underground,43,2,0,Usual
18,175,brick,Arbato-Pokrovskaya,9,4.5,23,50,0,east,79,2,closed,73,2,0,Usual
19,96,block,Kalininskaya,6,12,20,43,0,east,60,1,closed,39,1,0,Usual
